,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401050724,2024-07-05
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401050724,2024-07-05
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401050724,2024-07-05
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401050724,2024-07-05
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401060724,2024-07-06
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401060724,2024-07-06
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401060724,2024-07-06
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401060724,2024-07-06
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401060724,2024-07-06
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401060724,2024-07-06
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401060724,2024-07-06
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401060724,2024-07-06
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401060724,2024-07-06
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401060724,2024-07-06
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401060724,2024-07-06
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401060724,2024-07-06
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401060724,2024-07-06
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401060724,2024-07-06
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401060724,2024-07-06
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401060724,2024-07-06
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401060724,2024-07-06
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401080724,2024-07-08
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401080724,2024-07-08
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401080724,2024-07-08
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401080724,2024-07-08
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401080724,2024-07-08
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401080724,2024-07-08
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401080724,2024-07-08
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401080724,2024-07-08
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401080724,2024-07-08
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401080724,2024-07-08
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401080724,2024-07-08
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401080724,2024-07-08
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401080724,2024-07-08
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401080724,2024-07-08
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401080724,2024-07-08
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401080724,2024-07-08
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401080724,2024-07-08
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401090724,2024-07-09
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401090724,2024-07-09
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401090724,2024-07-09
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401090724,2024-07-09
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401090724,2024-07-09
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401090724,2024-07-09
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401090724,2024-07-09
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401090724,2024-07-09
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401090724,2024-07-09
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401090724,2024-07-09
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401090724,2024-07-09
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401090724,2024-07-09
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401090724,2024-07-09
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401090724,2024-07-09
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401090724,2024-07-09
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401090724,2024-07-09
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401090724,2024-07-09
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401100724,2024-07-10
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401100724,2024-07-10
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401100724,2024-07-10
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401100724,2024-07-10
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401100724,2024-07-10
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401100724,2024-07-10
6,Стерильная игла BBraun,ABX,20F16G8851,2026-07-01 00:00:00,–,S18401100724,2024-07-10
7,Стерильный шприц NORM-JECT,ABX,21M01C8,2026-12-01 00:00:00,–,S18401100724,2024-07-10
8,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S18401100724,2024-07-10
9,Картридж Oasis,ABX,018133110A,2028-08-01 00:00:00,–,S18401100724,2024-07-10
10,Картридж QMA,ABX,013632305B,2028-08-01 00:00:00,–,S18401100724,2024-07-10
11,Картридж SCX,ABX,M220701M02,2027-08-01 00:00:00,–,S18401100724,2024-07-10
12,Трифлат маннозы,ABX,TATМ-230925001-1,2025-02-01 00:00:00,"112,113,СТ-03137",S18401100724,2024-07-10
13,Натрия хлорид,BBraun,31401223,2026-11-01 00:00:00,"99, 100, CT-01261",S18401100724,2024-07-10
14,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-231218801-2,2025-12-01 00:00:00,–,S18401100724,2024-07-10
15,"Вода, обогащенная кислородом-18",ЦМИ,2403K006,2026-03-01 00:00:00,–,S18401100724,2024-07-10
16,Вода для промывки линий доставки,ООО «Гротекс»,770823,2026-07-01 00:00:00,"96-98, СТ-01262",S18401100724,2024-07-10
0,Дозирующий набор Clio,Comecer,FE00505,2028-06-01 00:00:00,CT-03224,S18401120724,2024-07-12
1,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-230401,2025-05-01 00:00:00,СТ-09195,S18401120724,2024-07-12
2,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-230301,2025-03-01 00:00:00,СТ-00062,S18401120724,2024-07-12
3,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,231218004-1,2025-01-01 00:00:00,"101-108, СТ-03133, СТ-03134, СТ-03135, СТ-03136",S18401120724,2024-07-12
4,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S18401120724,2024-07-12
5,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-240115001,2025-02-01 00:00:00,109-111,S18401120724,2024-07-12
